,Stopwords?,References Preserved?,Training Algorithm,Ngrams?,Dimensions,Window,Minimum Count Threshold,Number of Training Epochs,Pearson Correlation Coefficient,Pearson Correlation Coefficient P-Value,Spearman Correlation Coefficient,Spearman Correlation Coefficient P-Value,Unknown Word Pairs,Overall Analogy Accuracy (%)
611,True,True,Word2Vec,False,64,8,50,20,0.2295200804819852,0.3041831251646921,0.09353815144337116,0.6788500071819573,0.0,0.0
612,False,False,Word2Vec,False,128,8,20,5,0.23546633266885936,0.2914752840793426,0.20805152472555888,0.35283260833093744,0.0,9.090909090909092
613,True,False,Word2Vec,False,32,8,20,8,0.18304748661547635,0.41485717261105615,0.08446778524280185,0.7086039225546922,0.0,18.181818181818183
614,True,False,FastText,True,256,8,5,8,0.12116583623977958,0.5911778002726631,0.11281267961958098,0.6171791673554224,0.0,0.0
615,False,False,FastText,False,256,8,5,5,0.05816333638169406,0.7970992027741033,0.13662239089607547,0.5443395134980277,0.0,0.0
616,True,True,FastText,False,256,2,20,5,-0.0423250448062982,0.8516471729080459,-0.005668978875355828,0.9800247785734897,0.0,0.0
617,True,True,FastText,False,128,20,10,20,0.21032206311287838,0.34748372914182235,0.18594250711167115,0.4073872210153838,0.0,18.181818181818183
618,False,False,FastText,True,256,8,20,20,0.11522372045658512,0.6096267589667397,0.08786917256801534,0.6973953232076209,0.0,0.0
619,True,False,Word2Vec,False,32,8,20,5,0.20939358610383157,0.3496652327834996,0.07823190847991043,0.7293035314417546,0.0,9.090909090909092
620,True,True,Word2Vec,True,256,20,5,20,0.3373188347371979,0.1247319027429027,0.26757580291679506,0.22863325288689065,0.0,18.181818181818183
621,True,False,Word2Vec,False,256,8,20,5,0.17140218002405666,0.4456481112059797,0.05782358452862944,0.7982607116723914,0.0,9.090909090909092
622,False,True,FastText,True,64,20,5,5,0.24060779297120238,0.28075707545532297,0.1717700599232816,0.4446574413888418,0.0,0.0
623,False,False,Word2Vec,False,256,20,10,5,0.24697793068638813,0.2678247357718007,0.21145291205077238,0.3448375599534349,0.0,9.090909090909092
624,True,False,FastText,False,64,20,20,20,0.19841037682847795,0.37607498945533996,0.11621406694479447,0.6065355971027382,0.0,0.0
625,False,True,Word2Vec,False,128,8,5,20,0.20497358919322692,0.36015974629432673,0.12415063737029265,0.5820010452190858,0.0,0.0
626,True,True,FastText,False,256,8,20,20,0.0963499571842506,0.6697169132286189,0.09297125355583558,0.6806966945382145,0.0,0.0
627,True,False,Word2Vec,True,256,8,5,2,0.26532126428711234,0.23272821536822905,0.15022794019692945,0.5045781418998159,0.0,18.181818181818183
628,False,True,Word2Vec,False,64,8,20,5,0.2660919117510725,0.23132311132523642,0.14059067610882453,0.5325958086976024,0.0,9.090909090909092
629,False,False,FastText,True,256,20,5,5,0.15215717798951317,0.49905701174847594,0.22279086980148405,0.31896685182388607,0.0,0.0
630,False,False,Word2Vec,True,128,8,10,20,0.2772942221436491,0.21152521216144077,0.1479603486467871,0.5111053354120995,0.0,18.181818181818183
631,True,False,FastText,True,256,8,5,20,0.1547988692389984,0.49154532759895114,0.1479603486467871,0.5111053354120995,0.0,0.0
632,True,True,FastText,False,32,8,5,5,0.11863302163814815,0.5990126801664221,0.07029533805441227,0.7559124058519983,0.0,9.090909090909092
633,True,False,FastText,True,32,8,20,2,0.1786849088435974,0.4262535999355071,0.09750643665612024,0.6659734761921386,0.0,9.090909090909092
